# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	4629
#@/user_id	8153c35b-79e8-4496-b5ef-103168ff7e21
a 	啊	c=5 d=0.503807 t=4629
ge 	個	c=7 d=1.79692 t=4585
ge 	隔	c=0 d=0.1 t=4102
ge ju 	格局	c=1 d=1 t=1108
ge ren 	個人	c=1 d=1 t=3702
ge shi hua 	格式化	c=2 d=1 t=3242
ge shu 	個數	c=1 d=1 t=3439
ge xing 	個性	c=1 d=1 t=4545
ge yi duan shi jian 	隔一段時間	c=1 d=1 t=4103
ge zi 	各自	c=1 d=1 t=2074
gei 	給	c=8 d=1.32189 t=4611
gei ni 	給你	c=1 d=1 t=1507
gen 	跟	c=4 d=1.00646 t=4565
gen ju 	根據	c=2 d=1.09163 t=4014
gen ni 	跟你	c=1 d=1 t=835
gen sui 	跟隨	c=2 d=1.001 t=1837
gen sui shu biao 	跟隨鼠標	c=1 d=1 t=436
gen zhe 	跟着	c=1 d=1 t=1832
geng chang 	更長	c=1 d=1 t=2716
geng huan 	更換	c=4 d=2.75902 t=3498
geng shi 	更是	c=1 d=1 t=2995
geng xin 	更新	c=5 d=1.30569 t=4156
geng xin huan dai 	更新換代	c=1 d=1 t=1012
gong 	共	c=1 d=1 t=3742
gong cheng shi 	工程師	c=1 d=1.07531 t=1697
gong hao 	功耗	c=4 d=3.46444 t=582
gong ju 	工具	c=2 d=1.01633 t=3243
gong lve 	攻掠	c=1 d=1 t=2134
gong si 	公司	c=7 d=2.10377 t=2314
gong wu yuan 	公務員	c=5 d=2.40911 t=1082
gong xue 	工學	c=1 d=1 t=1927
gong zi 	工資	c=3 d=1.10809 t=1666
gong zi wai 	工資外	c=1 d=1 t=895
gong zuo 	工作	c=3 d=1.00389 t=2322
gong zuo bu wen ding 	工作不穩定	c=1 d=1 t=672
gong zuo di dian 	工作地點	c=1 d=1 t=873
gong zuo jing yan 	工作經驗	c=1 d=1 t=1112
gong zuo le 	工作了	c=1 d=1 t=2200
gong zuo qing song 	工作輕鬆	c=1 d=1 t=979
gong zuo shao 	工作少	c=1 d=1 t=1043
gong zuo shi jian 	工作時間	c=1 d=1 t=1469
gong zuo tai lei 	工作太累	c=1 d=1 t=1187
gou 	夠	c=0 d=0.1 t=2293
gou mai 	購買	c=1 d=1 t=314
gou tong 	溝通	c=1 d=1 t=4567
gou tong guo 	夠通過	c=1 d=1 t=2294
gou zhi 	購置	c=3 d=2.96531 t=2817
gu 	股	c=1 d=1 t=2536
gu 	骨	c=2 d=1.90937 t=2556
gu ding 	固定	c=2 d=1.0048 t=4226
gu guai 	古怪	c=1 d=1 t=2398
gu jian 	固件	c=5 d=3.2266 t=3905
gu tou 	骨頭	c=1 d=1 t=2475
gua gou 	掛鉤	c=1 d=1 t=3075
gua zai 	掛載	c=1 d=1 t=4042
guai tan 	怪談	c=0 d=0.1 t=1796
guai tan zhi guo 	怪談之國	c=1 d=1 t=1797
guan 	關	c=1 d=1 t=508
guan bi 	關閉	c=2 d=1.03337 t=4628
guan cha 	觀察	c=2 d=1.06142 t=4152
guan cha li 	觀察力	c=1 d=1 t=1165
guan fang 	官方	c=2 d=1 t=4044
guan fang 	關防	c=0 d=0.1 t=182
guan fang tui jian 	關防推薦	c=1 d=1 t=183
guan jian 	關鍵	c=1 d=1 t=3222
guan li 	管理	c=1 d=1 t=4620
guan xi 	關係	c=0 d=0.1 t=4315
guang 	光	c=2 d=1.97045 t=3431
guang gao ye 	廣告業	c=1 d=1 t=970
guang xian 	光線	c=1 d=1 t=3685
guang xian 	光纖	c=2 d=1.9802 t=3690
gui lv 	規律	c=0 d=0.1 t=964
gui shu gan 	歸屬感	c=2 d=1.90032 t=4579
gui ze 	規則	c=2 d=1.23931 t=4441
guo 	過	c=4 d=1.00008 t=3859
guo ban 	過半	c=1 d=1 t=1124
guo cheng 	過程	c=1 d=1 t=2034
guo ji 	國際	c=1 d=1 t=712
guo jia ji 	國家級	c=1 d=1 t=710
guo qi 	國企	c=1 d=1 t=522
guo qu 	過去	c=1 d=1 t=991
guo shi 	過時	c=1 d=1 t=1163
guo xia qu 	過下去	c=1 d=1 t=2283
ha ha 	哈哈	c=12 d=2.85927 t=4390
ha ha 	😄	c=1 d=1 t=396
ha ha ha 	哈哈哈	c=10 d=1.02816 t=4410
ha ha ha ha 	哈哈哈哈	c=2 d=1 t=3955
hai 	害	c=1 d=1 t=2511
hai 	還	c=2 d=1.75957 t=1044
hai shi 	還是	c=5 d=1.00647 t=3841
hai si 	害死	c=1 d=1 t=2230
hai suan 	還算	c=1 d=1 t=2478
hai you 	還有	c=2 d=1.00043 t=3834
hai you yong 	還有用	c=1 d=1 t=2493
hai zi 	孩子	c=2 d=1.97045 t=2254
han 	含	c=3 d=1.99835 t=265
han guo 	韓國	c=1 d=1 t=308
han shu 	函數	c=3 d=1.09639 t=3995
han zi 	漢字	c=1 d=1 t=220
hang 	行	c=2 d=0.1 t=3462
hang ye 	行業	c=0 d=0.139653 t=1224
hao 	好	c=1 d=1 t=2909
hao 	浩	c=1 d=1 t=354
hao ba 	好吧	c=1 d=1 t=393
hao de 	好的	c=1 d=1 t=1267
hao jiu 	好久	c=1 d=1 t=2265
hao jiu le 	好久了	c=1 d=1 t=3810
hao lao 	好老	c=0 d=0.1 t=833
hao lao ban 	好老板	c=1 d=1 t=834
hao le 	好了	c=0 d=0.1 t=3139
hao ren 	好人	c=0 d=0.1 t=1291
hao xiang jiu shi 	好像就是	c=0 d=0.0847894 t=4629
hao xiang jiu shi ni 	好像就是你	c=1 d=0.852144 t=4629
he 	和	c=22 d=2.37118 t=4624
he a 	呵呵	c=0 d=0.1 t=1308
he a a he 	呵呵呵呵	c=1 d=1 t=1309
he a he he 	呵呵呵呵	c=0 d=0.0955997 t=4629
he a he he a 	呵呵呵呵啊	c=1 d=0.960789 t=4629
he bi 	何必	c=2 d=1.83946 t=1676
he bing 	合併	c=1 d=1 t=3434
he ge lv 	合格率	c=1 d=1 t=688
he ku 	何苦	c=2 d=1.97531 t=1622
he li xing 	合理性	c=1 d=1 t=1961
he nan 	河南	c=1 d=1 t=3800
he qi 	何其	c=0 d=0.1 t=1615
he qi duan zan 	何其短暫	c=1 d=1 t=1616
he shang 	和尚	c=1 d=1 t=1201
he shi 	何時	c=1 d=1 t=2188
he xin 	核心	c=1 d=1 t=1127
hei hei 	嘿嘿	c=1 d=1.09851 t=3894
hei hei infoq er 	嘿嘿infoQ二	c=1 d=1 t=3892
hei se 	黑色	c=1 d=1.09501 t=2136
hei se si wa 	黑色絲襪	c=1 d=1 t=2137
hei yu 	黑閾	c=1 d=1 t=4536
hen 	很	c=1 d=0.100103 t=4218
hen duo 	很多	c=1 d=1 t=3577
hen ji 	痕跡	c=1 d=1 t=3129
hen kuai 	很快	c=1 d=1 t=1143
hen le yi 	很乐意	c=1 d=1 t=2832
hen man 	很慢	c=1 d=1 t=591
hen nan 	很難	c=1 d=1 t=1276
hen nan shuo 	很難說	c=0 d=0.1 t=1296
hen tong ku 	很痛苦	c=1 d=1 t=2147
hen wei xian 	很危險	c=1 d=1 t=4219
hen you 	很有	c=1 d=1 t=4578
hong 	紅	c=1 d=1 t=4452
hou 	厚	c=1 d=1 t=2769
hou 	後	c=5 d=2.1375 t=4494
hou lai 	後來	c=1 d=1 t=2692
hou mian 	後面	c=2 d=1.00069 t=4447
hou tai 	後臺	c=1 d=1 t=3423
hou xu 	後續	c=1 d=1 t=1114
hou yi 	后羿	c=1 d=1 t=1366
hou zhui 	後綴	c=4 d=1.24732 t=3779
hu bei 	湖北	c=1 d=1 t=528
hu dong 	互動	c=1 d=1 t=1723
hu jin tao 	胡錦濤	c=3 d=2.83371 t=4453
hu lian wang 	互聯網	c=1 d=1 t=699
hu ren 	唬人	c=1 d=1 t=1216
hu wai 	戶外	c=1 d=1 t=2452
hu xi 	呼吸	c=2 d=1.00607 t=2588
hu xiang 	互相	c=1 d=1 t=1183
hua 	化	c=1 d=0.112778 t=3895
hua 	畫	c=3 d=2.47421 t=4307
hua 	花	c=1 d=1 t=3897
hua 	話	c=12 d=7.08648 t=4524
hua deng hao 	畫等號	c=1 d=1 t=1254
hua fei 	花費	c=1 d=1 t=2204
hua li de 	华丽的	c=0 d=0.1 t=1487
hua li de wai yi 	华丽的外衣	c=1 d=1 t=1488
hua tu 	畫圖	c=1 d=1 t=4212
huai 	壞	c=0 d=0.1 t=837
huai lao ban 	壞老闆	c=1 d=1 t=838
huan 	換	c=2 d=1.88692 t=3480
huan 	還	c=1 d=1 t=2222
huan cun 	緩存	c=2 d=1.98511 t=3983
huan hang 	換行	c=1 d=1 t=264
huan jie 	環節	c=3 d=2.71668 t=3006
huan jing 	環境	c=4 d=1.02449 t=2742
huan shang 	換上	c=1 d=1 t=2784
huan suan 	換算	c=1 d=1 t=3009
huang 	慌	c=0 d=0.1 t=2151
huang 	黃	c=1 d=1 t=798
huang he 	黃鶴	c=1 d=1 t=1984
huang jin wu 	黃金屋	c=1 d=1 t=793
huang yan 	謊言	c=1 d=1 t=795
hui 	會	c=6 d=1.36358 t=3788
hui bao 	回報	c=1 d=1 t=1135
hui bei 	會被	c=1 d=1 t=911
hui fu 	回覆	c=1 d=1 t=3665
hui fu 	恢復	c=3 d=2.60833 t=3759
hui lai 	回來	c=0 d=0.1 t=1571
hui lai le 	回來了	c=1 d=1 t=1572
hui yong dao 	會用到	c=1 d=1 t=2092
hui you 	會有	c=1 d=1 t=3127
hui yuan 	會員	c=0 d=0.1 t=308
hui zhi 	繪製	c=5 d=3.76599 t=4256
hun he 	混合	c=1 d=1 t=3898
hun xiao 	混淆	c=2 d=1.9802 t=1432
hun yin 	混音	c=1 d=1 t=1412
huo 	或	c=1 d=1 t=4465
huo 	活	c=0 d=0.1 t=1014
huo bu jiu 	活不久	c=1 d=1 t=1015
huo de 	獲得	c=2 d=1.1381 t=3629
huo de chang 	活得長	c=1 d=1 t=915
huo qu 	獲取	c=22 d=1.18118 t=4629
huo xu 	或許	c=6 d=3.74505 t=2717
huo xu shi 	或許是	c=1 d=1 t=2731
huo zhe 	或者	c=4 d=1.22564 t=4490
huo zhe 	活着	c=3 d=1.0497 t=3409
i n 	∈	c=0 d=0.1 t=1791
i n tun tun tu tu tou tun he 	∈吞吞吐吐頭屯河	c=1 d=1 t=1792
infoq 	infoQ	c=0 d=0.233172 t=3891
infoq en tai 	infoQ恩臺	c=1 d=1 t=3876
ji 	寄	c=0 d=0.1 t=3649
ji 	幾	c=1 d=1 t=2100
ji 	機	c=1 d=1 t=2796
ji 	集	c=2 d=1.17817 t=2133
ji bing 	疾病	c=1 d=1 t=378
ji chu 	基礎	c=1 d=1 t=1096
ji gao 	極高	c=2 d=1.41478 t=1227
ji he 	集合	c=1 d=1 t=1414
ji hua 	計劃	c=1 d=1 t=2470
ji hui 	集會	c=1 d=1 t=1474
ji ke 	即可	c=1 d=1 t=4608
ji lu 	記錄	c=1 d=1 t=335
ji neng 	技能	c=2 d=1.88692 t=4269
ji neng dian 	技能点	c=4 d=3.72739 t=4276
ji neng shu 	技能树	c=8 d=7.00871 t=4279
ji qi 	及其	c=1 d=1 t=3543
ji qi ren 	機器人	c=1 d=1 t=783
ji rou 	肌肉	c=7 d=5.12236 t=2583
ji shi 	紀實	c=1 d=1 t=1869
ji shi 	計時	c=0 d=0.1 t=1438
ji shi shi 	計時時	c=1 d=1 t=1439
ji shu 	技術	c=5 d=1.13189 t=2439
ji shu zhi shang 	技術至上	c=1 d=1 t=1136
ji suan 	計算	c=3 d=1.73228 t=2391
ji suan ji 	計算機	c=22 d=3.87207 t=2941
ji suan ji hang ye 	計算機行業	c=1 d=1 t=1225
ji suan ji wang luo 	計算機網絡	c=1 d=1 t=499
ji suan ji zhuan ye 	計算機專業	c=1 d=1 t=1062
ji tian 	幾天	c=0 d=0.1 t=942
ji wei 	記爲	c=1 d=1 t=3550
ji xia 	記下	c=1 d=1 t=3582
ji xiao shi 	幾小時	c=1 d=1 t=945
ji xu 	繼續	c=1 d=1 t=3559
jia 	加	c=4 d=1.93982 t=3511
jia 	家	c=5 d=2.27167 t=2319
jia ban 	加班	c=5 d=3.86461 t=1007
jia ban duo 	加班多	c=1 d=1 t=673
jia dian 	加點	c=1 d=1 t=4242
jia gou 	架構	c=1 d=1 t=1844
jia ju 	家居	c=3 d=1.01126 t=2773
jia li 	家裏	c=4 d=1.19942 t=2779
jia nian hua 	嘉年華	c=1 d=1 t=661
jia re 	加熱	c=1 d=1 t=2215
jia ren 	家人	c=1 d=1 t=2245
jia shang 	加上	c=2 d=1.00254 t=3404
jia she 	假設	c=1 d=1 t=4286
jia shen 	加深	c=1 d=1 t=2629
jia ting 	家庭	c=1 d=1.00007 t=2159
jia ting jiao yu 	家庭教育	c=1 d=1 t=2334
jia ting zi yuan 	家庭資源	c=1 d=1 t=706
jian 	鍵	c=3 d=1.03506 t=1316
jian ce 	檢測	c=1 d=1 t=4111
jian dan 	簡單	c=1 d=1 t=3453
jian guo 	見過	c=0 d=0.1 t=59
jian hua 	簡化	c=1 d=1 t=4208
jian kang 	健康	c=4 d=1.27811 t=2916
jian li 	建立	c=1 d=1 t=4266
jian nan 	艱難	c=4 d=3.87806 t=2191
jian shen 	健身	c=1 d=1 t=2476
jian shu 	簡述	c=7 d=5.81164 t=2084
jian tou 	箭頭	c=1 d=1 t=4261
jian wang 	健忘	c=1 d=1 t=974
jian xie 	間歇	c=1 d=1 t=2553
jiang 	降	c=4 d=3.9407 t=876
jiang de 	講的	c=0 d=0.1 t=661
jiang de shen me 	講的什麼	c=1 d=1 t=662
jiang ji 	降級	c=1 d=1 t=4063
jiang jin 	獎金	c=1 d=1 t=885
jiao 	交	c=2 d=1.98511 t=882
jiao 	嚼	c=1 d=1 t=2903
jiao ben 	腳本	c=2 d=1.01049 t=4179
jiao cai 	教材	c=2 d=1 t=3714
jiao cheng 	教程	c=2 d=1.37719 t=3878
jiao du 	角度	c=2 d=1 t=4548
jiao hu 	交互	c=1 d=1 t=1772
jiao huan 	交換	c=2 d=1.41895 t=3527
jiao huan ji 	交換機	c=1 d=1 t=3856
jiao nang 	膠囊	c=2 d=2.03043 t=618
jiao xue 	教學	c=1 d=1 t=3677
jiao yi 	交易	c=1 d=1 t=668
jie 	接	c=1 d=1 t=2809
jie ci 	藉此	c=1 d=1 t=2243
jie dian 	節點	c=2 d=2.08167 t=4296
jie du 	解讀	c=1 d=1 t=1991
jie gou 	結構	c=2 d=1.99005 t=2042
jie guo 	結果	c=3 d=2.80521 t=3240
jie hun 	結婚	c=1 d=1 t=4093
jie hun hou 	結婚後	c=1 d=1 t=2145
jie ji 	階級	c=1 d=1.0088 t=1199
jie jue 	解決	c=2 d=1.04807 t=3385
jie le hun 	結了婚	c=1 d=1 t=2227
jie mian 	界面	c=1 d=1 t=4621
jie neng 	節能	c=1 d=1 t=539
jie qu 	截取	c=2 d=1 t=3216
jie shu 	結束	c=0 d=0.100015 t=3211
jie xi 	解析	c=2 d=1.88692 t=3239
jie zou 	節奏	c=1 d=1 t=4007
jin 	近	c=1 d=1 t=2320
jin cheng 	進程	c=1 d=1 t=4101
jin du 	進度	c=3 d=1.97531 t=3761
jin ji 	緊急	c=0 d=0.1 t=766
jin ji wen ti 	緊急問題	c=1 d=1 t=767
jin kuai 	儘快	c=2 d=1.24537 t=2515
jin qu 	進去	c=0 d=0.1 t=3838
jin ru 	進入	c=2 d=1.00017 t=2444
jin tian 	今天	c=1 d=1 t=2425
jin xing 	進行	c=6 d=2.06454 t=3747
jin zhang 	緊張	c=1 d=0.665525 t=1674
jin zhao 	今朝	c=1 d=1 t=1633
jing 	菁	c=1 d=1 t=1419
jing hao 	靜好	c=0 d=0.1 t=913
jing ji 	經濟	c=3 d=2.12894 t=2192
jing ji xue 	經濟學	c=1 d=1 t=849
jing li 	精力	c=2 d=1.0302 t=1490
jing que 	精確	c=1 d=1 t=3985
jing ran 	竟然	c=1 d=1 t=2306
jing shen ya li 	精神壓力	c=0 d=0.1 t=762
jing tai 	靜態	c=3 d=1.00001 t=4616
jing tan 	驚歎	c=1 d=1 t=2415
jing yan 	經驗	c=1 d=1 t=1162
jing zhe 	驚蟄	c=1 d=1 t=340
jing zheng 	競爭	c=1 d=1 t=1138
jing zhui 	頸椎	c=1 d=1 t=2539
jing zhui bing 	頸椎病	c=1 d=1 t=680
jiu 	就	c=5 d=1.35802 t=3139
jiu hao le 	就好了	c=1 d=1 t=3140
jiu ke yi 	就可以	c=1 d=1 t=810
jiu neng 	就能	c=1 d=1 t=1197
jiu shi 	就是	c=4 d=2.43392 t=3097
jiu xiang shi 	就像是	c=1 d=1 t=2165
jiu xu yao 	就需要	c=1 d=1 t=3122
jiu yao 	就要	c=2 d=1.00222 t=2281
jiu yao gen 	就要跟	c=1 d=1 t=1210
jiu zuo 	久坐	c=3 d=1.51462 t=1202
ju bei 	具備	c=1 d=1 t=1996
ju da 	巨大	c=0 d=0.1 t=762
ju da jing shen ya li 	巨大精神壓力	c=1 d=1 t=763
ju ran 	居然	c=1 d=1 t=2385
ju zhu 	居住	c=2 d=1.83946 t=2741
juan she 	捲舌	c=1 d=1 t=4476
jue bu hui 	絕不會	c=1 d=1 t=888
jue ding 	決定	c=1 d=1 t=4270
jue dui zhi 	絕對值	c=1 d=1 t=4034
jue se 	角色	c=3 d=1.99112 t=3073
jun shi 	軍事	c=1 d=1 t=1877
ka 	卡	c=2 d=1.06266 t=2541
ka dun 	卡顿	c=1 d=1 t=2699
ka fa gong cheng shi 	卡發工程師	c=1 d=1 t=1698
ka luo la 	卡罗拉	c=1 d=1 t=4192
ka re ai 	卡熱愛	c=1 d=1 t=1425
ka zhu 	卡柱	c=1 d=1 t=586
kai chuang 	開窗	c=2 d=1.99501 t=2788
kai fa 	開發	c=7 d=4.85797 t=1762
kai fa ji shu 	開發技術	c=1 d=1 t=1009
kai guan 	開關	c=4 d=1.00005 t=2786
kai ji 	開機	c=2 d=1.9802 t=536
kai shi 	開始	c=8 d=1.00487 t=3758
kai shi shi 	開始時	c=1 d=1 t=3269
kan 	看	c=2 d=0.132995 t=3712
kan bu 	看不	c=0 d=0.1 t=1325
kan bu shang 	看不上	c=3 d=2.90256 t=2316
kan bu yi yang de ren 	看不一樣的人	c=1 d=1 t=1326
kan dao 	看到	c=2 d=1.24908 t=2426
kan de 	看得	c=1 d=1 t=990
kan fa 	看法	c=1 d=1 t=2081
kan guo 	看過	c=0 d=0.199501 t=1362
kan infoq ao cun ai 	看infoQ奥村爱	c=1 d=1 t=3713
kan jiu 	看久	c=0 d=0.1 t=3026
kan jiu le 	看久了	c=1 d=1 t=3027
kan qi lai 	看起來	c=1 d=1 t=3104
kan shang 	看上	c=0 d=0.1 t=1330
kan shang wo le ma 	看上我了嗎	c=1 d=1 t=1331
kan shu 	看書	c=2 d=1.00006 t=2891
kan zhi wu 	看植物	c=1 d=1 t=2879
kan zuo 	看作	c=1 d=1 t=1513
kang ding 	康定	c=1 d=0.837123 t=4524
kang ding hua 	康定話	c=1 d=1 t=4525
kang zheng 	抗爭	c=2 d=1.9802 t=2373
kao 	考	c=1 d=1 t=2837
kao 	靠	c=3 d=1.89518 t=1119
kao lv 	考慮	c=2 d=1.96079 t=1450
kao shi 	考試	c=2 d=1.00667 t=2068
kao yan 	考研	c=6 d=2.91492 t=2835
ke 	可	c=1 d=1 t=1638
ke 	科	c=2 d=1.8825 t=1929
ke 	課	c=1 d=1 t=1903
ke bian 	可變	c=1 d=1 t=203
ke hu duan 	客戶端	c=4 d=3.58762 t=1766
ke ji 	科技	c=4 d=0.10009 t=3871
ke ji shu 	科技樹	c=3 d=2.16822 t=4217
ke jian 	課件	c=1 d=1 t=500
ke neng 	可能	c=1 d=1.00204 t=1571
ke neng shi ge 	可能是個	c=1 d=1 t=794
ke xue 	科學	c=1 d=1.08289 t=1930
ke xue jia 	科學家	c=1 d=1 t=744
ke xue ma 	科學嗎	c=1 d=1 t=1885
ke xue xing 	科學性	c=1 d=1 t=503
ke yi 	可以	c=8 d=3.12491 t=4182
ke yong 	可用	c=1 d=1 t=4143
kong bai 	空白	c=1 d=1 t=3514
kong ge 	空格	c=2 d=1.53075 t=232
kong hang 	空行	c=1 d=1 t=349
kong jiang 	空降	c=1 d=1 t=4191
kong ju 	恐懼	c=1 d=1 t=1107
kong ke 	空殼	c=1 d=1 t=2989
kong zhi 	控制	c=3 d=1.13599 t=2663
kong zhi qi 	控制器	c=1 d=1 t=2811
kou 	口	c=1 d=1 t=3952
kou 	釦	c=1 d=1 t=884
kou qiang 	口腔	c=1 d=1 t=2979
ku jiu 	苦酒	c=1 d=1 t=2167
ku wo 	酷我	c=1 d=1 t=1392
kuai 	快	c=2 d=1.2466 t=1444
kuai can 	快餐	c=1 d=1 t=2912
kuai di 	快遞	c=3 d=2.28166 t=356
kuai jie jian 	快捷鍵	c=1 d=1 t=252
kuai niao 	快鳥	c=7 d=3.8734 t=3328
kuai pao 	快跑	c=1 d=1 t=4409
kuai su 	快速	c=1 d=1 t=610
kuan dai 	寬帶	c=1 d=1 t=3321
kuan guang 	寬廣	c=1 d=1 t=1672
kuang 	框	c=1 d=1 t=4309
kun shan 	崑山	c=1 d=1 t=4189
kuo zhan 	擴展	c=4 d=1 t=3331
la di 	拉低	c=0 d=0.1 t=730
la di qing shang 	拉低情商	c=1 d=1 t=731
la pu la si 	拉普拉斯	c=1 d=1 t=1986
la zhe 	拉着	c=1 d=1 t=2771
lai 	來	c=11 d=1.1358 t=4181
lai kan 	來看	c=1 d=1 t=2759
lai lin 	來臨	c=1 d=1 t=1192
lai shuo 	來說	c=1 d=1 t=1058
lai zi 	來自	c=2 d=1.27804 t=2669
lan 	藍	c=1 d=1.09005 t=1390
lan fan qie 	爛番茄	c=1 d=1 t=628
lan qi shi 	藍騎士	c=1 d=1 t=1391
lan qiu 	籃球	c=1 d=1 t=2348
lan ya 	藍牙	c=1 d=1 t=2140
lang du 	朗讀	c=1 d=1 t=3947
lang fei 	浪費	c=1 d=1 t=2965
lao ban 	老闆	c=1 d=1.07788 t=887
lao po 	老婆	c=2 d=1.9802 t=2153
lao shi 	老師	c=1 d=1 t=983
le 	了	c=20 d=1.03814 t=4591
le ma 	了嗎	c=1 d=1 t=61
lei 	累	c=0 d=0.1 t=788
lei 	類	c=7 d=1.09405 t=4206
lei da 	雷達	c=1 d=1 t=2802
lei le 	累了	c=1 d=1 t=906
lei si 	累死	c=1 d=1 t=912
lei si 	類似	c=1 d=1 t=525
lei xing 	類型	c=2 d=1.956 t=2125
leng 	冷	c=1 d=1 t=1208
leng qi 	冷碛	c=2 d=1.94649 t=4095
li 	力	c=3 d=1.89377 t=1722
li 	立	c=1 d=1 t=276
li 	裏	c=10 d=1.88179 t=4622
li 	離	c=1 d=1 t=2318
li chang 	立場	c=1 d=1 t=1896
li hai 	厲害	c=1 d=1 t=801
li hao 	利好	c=0 d=0.1 t=799
li jie 	理解	c=2 d=1.08215 t=2630
li ma 	立馬	c=0 d=0.0918512 t=4629
li run 	利潤	c=1 d=1 t=1226
li shi 	歷史	c=2 d=1.00331 t=3024
li ti sheng 	立體聲	c=1 d=1 t=1411
li xiang 	理想	c=2 d=1.97531 t=847
li xiang zhu yi zhe 	理想主義者	c=1 d=1 t=1236
li yi 	利益	c=1 d=1.02312 t=1524
li yi de 	利益的	c=1 d=1 t=1525
li you 	理由	c=1 d=1 t=1956
lian 	聯	c=3 d=2.69715 t=1754
lian 	連	c=1 d=1 t=154
lian jia 	臉頰	c=0 d=0.1 t=2533
lian jia lao dong li 	廉价劳动力	c=1 d=1 t=737
lian jie 	連接	c=2 d=0.969402 t=4133
lian jie 	鏈接	c=1 d=1 t=613
lian tong xing 	连通性	c=1 d=1 t=4140
lian xi 	練習	c=2 d=1.82696 t=2976
lian xi 	聯繫	c=1 d=1 t=2423
lian xu 	連續	c=0 d=0.1 t=942
lian xu ji tian 	連續幾天	c=1 d=1 t=943
lian zhao 	聯招	c=0 d=0.1 t=3736
lian zhao shun xu 	聯招順序	c=1 d=1 t=3737
liang bian 	兩邊	c=1 d=1 t=2751
liang de 	量地	c=0 d=0.1 t=1177
liang du 	亮度	c=1 d=1 t=1379
liang ge 	兩個	c=4 d=1.08423 t=3642
liang ge huang li ming cui liu 	两个黄鹂鸣翠柳	c=1 d=1 t=101
liang hao 	良好	c=1 d=1 t=826
liang hua 	量化	c=1 d=1 t=665
liang ji 	兩級	c=1 d=1 t=4301
liang jia 	兩家	c=1 d=1 t=3435
liang nian 	兩年	c=1 d=1 t=2723
liang pai 	兩排	c=1 d=1 t=4308
liang zhong 	兩種	c=1 d=1 t=4609
lie biao 	列表	c=1 d=1 t=3441
lie ju 	列舉	c=1 d=1 t=2093
lie ping wang 	獵聘網	c=2 d=1.00175 t=1681
ling dao zhe 	領導者	c=1 d=1 t=1240
ling huo 	零火	c=3 d=1.92776 t=2806
liu dong 	流動	c=1 d=1.09753 t=1842
liu liang 	流量	c=1 d=1 t=4110
liu qiang 	刘强	c=0 d=0.1 t=3731
liu qiang dong 	刘强東	c=1 d=1 t=3732
liu si 	六四	c=1 d=1 t=341
liu xing 	流行	c=1 d=1 t=390
long tong 	籠統	c=1 d=1 t=2858
lou dian 	漏電	c=1 d=1 t=410
lu deng 	路燈	c=1 d=1 t=2753
lu ding 	瀘定	c=4 d=1.43636 t=4509
lu ding hua 	瀘定話	c=1 d=1 t=4510
lu jing 	路徑	c=1 d=1 t=4177
lu wang 	路網	c=0 d=0.1 t=4173
lu wang zhi 	路網值	c=1 d=1 t=4174
lu you 	路由	c=1 d=1.08025 t=511
lu you qi 	路由器	c=5 d=1.06192 t=4619
lu zhi 	錄製	c=3 d=1.94649 t=3978
luan ma 	亂碼	c=1 d=1 t=4081
lun 	論	c=1 d=1 t=4426
luo 	羅	c=4 d=3.6837 t=4456
luo ji 	邏輯	c=1 d=1 t=1048
lv shi 	律師	c=1 d=1 t=4190
ma 	嗎	c=16 d=1.15184 t=3820
ma 	碼	c=1 d=1 t=4446
ma 	罵	c=0 d=0.1 t=513
ma biao 	碼錶	c=1 d=1 t=85
ma hang 	马航	c=1 d=1 t=3731
ma nong 	碼農	c=1 d=1 t=1034
ma shang lai 	馬上來	c=1 d=1 t=1375
mai 	買	c=1 d=1 t=1220
mai dan 	買單	c=1 d=1 t=956
mai dong 	脈動	c=1 d=1 t=1834
mai fang 	買房	c=1 d=1 t=1218
mai ke 	麥克	c=1 d=1 t=3973
mai le 	買了	c=0 d=0.1 t=3721
man bu 	漫步	c=1 d=1 t=1827
man zu 	滿足	c=1 d=1 t=2235
mang 	忙	c=1 d=1 t=811
mang mu 	盲目	c=3 d=2.77568 t=1583
mang wan 	忙完	c=0 d=0.1 t=808
mang wan zhe yi zhen 	忙完這一陣	c=1 d=1 t=809
mao 	貓	c=0 d=0.1 t=4090
mao ding 	錨定	c=1 d=1 t=1655
mao hao 	冒號	c=1 d=1 t=1335
mao mao 	貓貓	c=1 d=1 t=3801
mao shi 	貌似	c=2 d=1.0567 t=3156
me 	麼	c=1 d=1 t=4076
mei 	每	c=1 d=0.159309 t=1668
mei 	沒	c=1 d=0.128508 t=4066
mei gao ding 	沒搞定	c=1 d=1 t=3816
mei ge 	每個	c=2 d=1.89583 t=2803
mei guo 	美國	c=4 d=1.03688 t=3710
mei hua 	美化	c=1 d=1 t=3935
mei jian guo 	沒見過	c=1 d=1 t=64
mei na me 	沒那麼	c=0 d=0.1 t=799
mei na me li hao 	沒那麼利好	c=1 d=1 t=800
mei ren 	沒人	c=2 d=1.28508 t=1023
mei su du 	沒速讀	c=1 d=1 t=4067
mei tian 	每天	c=2 d=1.00563 t=3933
